id,words
9Hn9yXoEMD,group of people posing for photo
B0--OP4BEPS,person holding sign
B03ElxPn0El,woman standing in front of mountain
B03rZG8g_8C,person standing in front of mirror posing for the camera
B05klvPAOv9,person standing in front of sign
B09a7hQhigR,man wearing suit and tie
B0BEEknoAoo,person standing in front of mountain
B0elFFaja5I,group of people posing for photo
B0eNrDmnIEG,woman standing in front of window
B0f8eRSIQFP,man standing on rocky hill
B0i9zJeHpF9,vase of flowers on table
B0q9aVrgHg7,person with football ball on field
B0x6ddZHEU1,person in green shirt with mountain in the background
B0z4VoLn_GL,screenshot of cell phone
B0ZCFAFizls,man wearing suit and tie
B0zTvN1pppV,girl throwing frisbee
B1B4RVAj2iK,path with trees on the side of road
B1CBEzrAOau,football player on field
B1E86D6Hld-,group of people standing next to body of water
B1EoRPmFJjv,person sitting on beach
B1GUBlCh1Wz,group of people posing for the camera
B1HB7L2B9Iy,couple of people that are talking to each other
B1HI8KmIGQ5,man standing in front of mountain
B1HVK4ao1Fa,close up of footwear
B1IgSu5o3mt,close up of light
B1Inf0FFCuq,person wearing sunglasses and hat
B1IT9XWCnkF,group of baseball players standing on beach
B1JCJPYFXu6,group of people posing for photo
B1JKrYrojeS,man standing next to tree
B1JMr7mDUVZ,person standing in room
B1JXjndHSJK,close up of bunch of purple flowers
B1JXS6aHSbN,man standing next to body of water
B1K4WeHH4FK,man standing on top of hill
B1KBwzgABRT,couple of people posing for the camera
B1Kl8YdJ96e,woman wearing hat
B1KlYGUnxVL,woman holding cell phone
B1KohLaH-X2,clock on the side of brick building
B1KoqsdnOc7,woman posing for picture
B1KrTkAAwjG,car driving down street
B1L0AHWozR5,woman standing in kitchen
B1L0An2nNvA,person wearing red and black hair
B1L0Axrnwj7,man riding motorcycle down street
B1L0AZyAW2P,man standing on rocky hill
B1L0B76Iqni,close up of text on white background
B1L0BdFnLSI,man in striped shirt talking on cell phone
B1L0BFDnOde,an empty road with grass and trees
B1L0BiSCj_3,screenshot of cell phone
B1L0Br3HhzF,young girl standing in parking lot
B1L0Cl-Hm6Y,motorcycle is parked on the side of the road
B1L0CW4HibP,man and dog
B1L0CXvp-km,person holding sign
B1L0Db7D0RS,person riding skate board on city street
B1L0DdLhMrA,person standing next to body of water
B1L0EwrnqyP,large body of water with city in the background
B1L0F53lBot,close up of text on white background
B1L0FDahuTI,plate of food and bottle of water on table
B1L0GJlg3jM,person standing on lush green field
B1L0GoQgUAV,dog sitting on tiled floor
B1L0GtUBuQc,group of people wearing costumes
B1L0H-1H1Px,person posing for the camera
B1L0H5BI09r,girl wearing glasses and looking at the camera
B1L0HS0gGs2,woman standing in front of mirror posing for the camera
B1L0Iecoubj,group of people posing for the camera
B1L0IvVAla9,close up of tree
B1L0JMNgdEQ,pair of black shoes
B1L0K46hCkH,person holding sign
B1L0KtuIpLO,person riding bike down dirt road
B1L0LPlDSeV,man standing next to woman
B1L0LxeoBXL,close up of man
B1L0Mb3Apjy,close up of hand
B1L0MUkHvm-,man wearing sunglasses driving car
B1L0MxRjW5t,man in red shirt
B1L0N1mFXqR,close up of device
B1L0NhCDmfM,person riding skate board on city street
B1L0OgQnCir,close up of feet wearing blue and red shoes
B1L0OIognGV,screenshot of cell phone
B1L0Oq5HCbR,close up of flower garden in front of mountain
B1L0OZyncjS,pan of food on plate
B1L0Py4hNkH,group of people in room with football ball
B1L0QjplkR5,group of people posing for the camera
B1L0QNbHXrA,close up of some grass
B1L0ZzZnmQJ,woman standing in front of fence
B1L28wrDY2O,woman holding sign
B1L2COxoIji,man throwing frisbee
B1L3-DsJcy_,man sitting on rock
B1L3-LDHmwF,woman riding on the back of bicycle
B1L30I1h8qI,screenshot of video game
B1L30IhHd86,group of people posing for photo
B1L30uCHjh9,woman wearing red shirt and smiling at the camera
B1L31AnijLo,man sitting on bench with mountain in the background
B1L32FPHI6r,woman holding football ball
B1L32S2HHrw,person swimming in the water
B1L334AhDZX,woman holding sign posing for the camera
B1L33CsBgdN,large clock mounted to the side
B1L33FDn4fu,screen shot of person
B1L3400jDRQ,screenshot of cell phone
B1L348NIl2W,man sitting on bench
B1L34CsnZp9,person is walking down the street
B1L34f5HeZo,man and woman standing in front of building
B1L34fGIgVt,woman throwing frisbee in wooded area
B1L34zTgVqs,close up of footwear
B1L35JLD_Fx,piece of luggage sitting on top of suitcase
B1L35zYihoa,woman talking on cell phone
B1L36cPFAAl,woman standing next to body of water
B1L36hSHDhN,close up of sign
B1L36m4A85J,person standing next to forest
B1L36xIgJvN,group of people playing football on field
B1L36xOA59g,group of people standing next to window
B1L371gAd0y,black and brown dog carrying frisbee in its mouth
B1L37MGHIj5,person swimming in body of water
B1L37UwndNu,group of people at table in front of building
B1L37VJoLAw,group of people sitting in front of brick building
B1L38alHPsW,man standing in front of mountain lake
B1L38JZHfZm,close up of plate of food
B1L38zCHgXv,person standing posing for the camera
B1L39iKn4DE,the tower of the city
B1L39J2A-rW,young boy riding skateboard up the side of road
B1L3hlSDasS,close up of couple of people that are looking at the camera
B1L3nIVh5s1,group of colorful flowers
B1L3OKZIKBE,person holding sign posing for the camera
B1L3OsKFwl7,girl in pink dress
B1L3p8iofZg,close up of logo
B1L3u-wHvXV,close up of map
B1L3ukIgsl3,close up of footwear
B1L3v9IBxD9,large body of water
B1L3vi9nx_8,person standing posing for the camera
B1L3vPmhLTt,group of people playing frisbee in the air
B1L3vr2hEO9,person standing on top of dirt road
B1L3w3UH9-3,person standing in front of mountain
B1L3woSoEjo,bag of luggage
B1L3wTZBp-a,close up of sign
B1L3wyBHAV7,man standing in front of sign
B1L3x7bDl7x,white and black shoes
B1L3xNdBY3S,bowl of soup
B1L3xsAgo60,person posing for the camera
B1L3yACjLu8,group of people posing for photo
B1L3yQsg3no,man looking at the camera
B1L3zYli3-d,man riding skateboard up the side of road
B1L3zZYhXNo,close up of black bag
B1L3_oSnP9l,close up of text on white background
B1L4a6IiaPN,clouds in the sky at sunset
B1L4ac0oBMJ,device with wires attached to it
B1L4AC5HtG_,screen shot of computer
B1L4Ai2AGeg,woman walking down street
B1L4APZAncf,close up of logo
B1L4AWPjifW,person holding gun
B1L4aXGHVPd,person wearing white shirt and black hair
B1L4b5eBPk8,group of people posing for photo
B1L4BfAIZHs,woman wearing hat
B1L4bG_I3k8,person is walking down the street
B1L4biwB0c0,close up of newspaper
B1L4C1iAoBi,woman standing on sidewalk
B1L4C3iAHBL,close up of building
B1L4c8cCW_B,man riding on the snow
B1L4CBVnZ03,screenshot of computer
B1L4CDZAKhZ,person holding guitar in front of mirror posing for the camera
B1L4ChECy_3,group of people standing around plane
B1L4CIIBMbL,flat screen television
B1L4CJ4HOma,man standing on sidewalk
B1L4CzUgVv-,woman standing in front of tree posing for the camera
B1L4da1Huba,woman posing for picture
B1L4Daahzex,person standing in front of mirror posing for the camera
B1L4dDRgUG0,person jumping in the air
B1L4dv6IfLZ,close up of cell phone
B1L4dWOBtoN,pair of skis in the snow
B1L4dYqJCPx,close up of footwear
B1L4dZIlEpj,person standing posing for the camera
B1L4D_ghBTs,close up of bottle
B1L4e1fgbeO,man standing in front of brick wall
B1L4e1zhcXM,large tree in forest
B1L4E3RAnHo,woman standing in front of mirror posing for the camera
B1L4eLcnrBV,person posing for the camera
B1L4eliISNR,group of people posing for the camera
B1L4ELsnJaT,man smiling for the camera
B1L4EYhAWzW,long bridge over river
B1L4FLwgtJL,group of people playing frisbee in the air
B1L4Fnmo4h_,group of people standing next to sign
B1L4Fv6F1Mj,hand holding piece of food
B1L4HcJHRRM,man that is standing in the grass
B1L4HZRH05O,dog with red leash
B1L4I15oJX2,man that is standing in the grass
B1L4IoigwHr,close up of logo
B1L4ISHgqgw,black sign with white text
B1L4IYaoIha,group of people on boat
B1L4J0fHwqF,man that is standing in the grass
B1L4J1Zg8T6,close up of clouds in the sky
B1L4JgwlOJz,man standing on top of sandy beach
B1L4JI0gGbx,screenshot of cell phone
B1L4JXrHaFA,close up of fruit
B1L4K30H2t1,small boat in body of water
B1L4Kb9I2sI,screenshot of cell phone
B1L4KFuohoV,man holding sign
B1L4KSTAJmR,boy wearing hat and smiling at the camera
B1L4KtmhRQR,person posing for the camera
B1L4Lc2jlhF,person standing in front of mirror posing for the camera
B1L4LqIHT2F,man wearing sunglasses and standing in front of fence
B1L4Ly6nIiM,close up of black device with screen
B1L4MoeDzXm,group of people standing in front of crowd posing for the camera
B1L4N7XoEE_,group of people holding sign
B1L4NLch8nU,large brown dog lying on the ground
B1L4O88h0jQ,black bottle on table
B1L4OkYnZuK,woman smiling and posing for the camera
B1L4PAtH6ej,smiling man in green shirt
B1L4PTAnN1I,box filled with different types of food
B1L4QFTl7rO,woman walking down street
B1L4Rbgnw26,man that is standing in the grass
B1L4RFphIZh,plate of food
B1L4RPsINiN,hand holding large pair of scissors
B1L4T5-FniQ,close up of sign
B1L4TEOowM3,person holding sign
B1L4UBiHqPO,group of people jumping in the air
B1L4UXBlGLp,man riding bike down dirt road
B1L4V3yAuFf,screenshot of cell phone
B1L4VFklRXo,group of people posing for photo
B1L4VMsgQpi,man wearing black shirt
B1L4Vp8Himz,woman wearing glasses and smiling at the camera
B1L4VQqnHNr,group of people riding on the back of motorcycle
B1L4W7hH7wi,group of people in field
B1L4X6THsyu,person holding sign
B1L4XgEHpgD,person holding child
B1L4XHFHbeY,screenshot of cell phone
B1L4XMdC8tD,group of people swimming in body of water
B1L4YPJorcL,stack of flyers on table
B1L4Zeuozpv,close up of sign
B1L4ZHsoSnh,person posing for the camera
B1L4ZNqpD8y,close up of text on whiteboard
B1L4ZuRpLXt,little boy that is standing in the grass
B1LBTr1oCHF,man throwing frisbee in grassy field
B1LcXLPIOGR,man and woman smiling and posing for the camera
B1LF33Dounu,group of people posing for the camera
B1LgK__ocoL,person standing in front of fence
B1LH9J2ojA5,view of snow covered mountain
B1Lhio4I8x3,close up of tree
B1Lj0ZeonKl,person posing for the camera
B1Ljci9Fd6A,man holding sign
B1LjvnQh700,woman talking on cell phone
B1LjZLzoCX9,woman wearing black dress
B1Lj_SJHsf-,woman sitting on bench posing for the camera
B1LkWwcnKLe,person jumping up in the air
B1Llkv5A8Rz,group of people that are standing in the grass
B1Lm1lPoHEZ,woman wearing underwear
B1Lm4wDop4w,woman wearing black shirt
B1Lm7wyIxvX,woman looking at the camera
B1Lm9gGIFSa,woman wearing black dress
B1LnmeuF2zP,woman standing next to tree
B1LnSgNBT9F,close up of footwear
B1LnsUxHjUI,pair of feet wearing blue and red shoes
B1Lnt7Oi0Ib,person jumping into the air to catch frisbee
B1Lob9EH1Ou,person stands in front of building
B1LoLDTiE3p,person standing next to forest
B1LpigwCmw6,sign on the side of fence
B1LRWDfotEn,person smiling next to body of water
B1Ls-adAaZT,close up of map
B1Ls-ViH8Yp,mountain in the background
B1Ls-wOoUuR,close up of map
B1Ls4-gAhDh,person taking selfie in front of water
B1Ls4-pojdt,close up of bowl of food
B1Ls50GAmD5,group of people flying kites in the air
B1Ls569hz0q,field of grass
B1Ls5CxDclj,tree next to body of water
B1Ls5gXiWpw,close up of slice of pizza
B1Ls5KpgeId,young girl holding football ball
B1Ls5USAI2O,man in blue shirt
B1Ls62CJLo1,group of shoes
B1Ls6qrA1DX,close up of toy
B1Ls6RqoPG4,tree in the middle of lush green forest
B1Ls6xfhiLB,close up of train station
B1Ls6Yyheee,bowl of soup and cup of coffee
B1Ls70VDWXz,close up of shirt
B1Ls7GZHVFe,an old photo of person
B1Ls7RHBHJG,city at night
B1Ls8jEoXjl,young boy standing on sidewalk
B1Ls9ECi0Hu,group of people posing for the camera
B1Ls9fknesW,person sitting on the ground
B1Ls9LXgYMX,close up of sign
B1Ls_HnhFfa,group of people posing for the camera
B1Ls_hYB8T6,plate of food
B1Ls_mMnmSS,person holding sign
B1Ls_WdITZR,close up of coffee cup
B1Lt4RzDcEx,pool next to body of water
B1LtArRgjlJ,screenshot of cell phone
B1LtBu6J30w,pair of black shoes
B1LtC9vAMfV,man holding snow board
B1LtCxiHj-R,person posing for the camera
B1LtD4RonA0,man jumping in the air doing trick on skateboard
B1LtDXZIcIE,view of city at night
B1LtEI1p8R2,man that is standing in the water
B1LtE_dBCRC,person standing next to body of water
B1LtF7vonYC,cat lying on top of grass covered field
B1LtFgpoDi0,boy wearing sunglasses
B1LtHDMBbUP,close up of rock
B1LtHNbDnma,boy swinging racket at ball
B1LtO7cgf0E,group of people standing in front of building
B1LtObDDL6O,man sitting on rock next to water
B1LtOpSAFB8,man posing for photo
B1LtOyNA95t,group of people posing for the camera
B1LtPb8nw6g,man sitting on boat in the water
B1LtPchBFYh,man riding skateboard up the side of building
B1LtPhKhUan,black and blue shoes
B1LtPtJHIe8,person standing in front of it
B1LtQ0TnA2R,person that is standing in the snow
B1LtQCqBeai,person riding wave on surfboard in the water
B1LtQgcn1Px,group of people walking down street in front of crowd
B1LtQoQFtt2,close up of sign
B1LtQt4H-fh,girl with ball in game
B1LtR46IxRT,path with trees on the side of river
B1LtRdjh2HL,group of people on beach posing for the camera
B1LtRgJFbe4,pink flower is in body of water surrounded by trees
B1LtRHcpgOi,banana tree in front of palm tree
B1LtRPVnReE,person sitting on beach
B1LtT9sIXeT,dog wearing red hat
B1LtTi1lfzY,man flying kite on the beach
B1LtTQ8nJnx,group of people posing for the camera
B1LtTYspbB3,person riding on the back of bicycle
B1LtU2inOg1,close up of map
B1LtU7ElaZ2,person standing in room
B1LtUBLpwiv,man swimming in the water
B1LtUi_C7HT,screenshot of cell phone
B1LtUlOgcxR,man standing in front of monitor
B1LtV-rCXTl,group of people posing for photo
B1LtVcBgXQ-,large tree in park
B1LtVpOgBIN,brown dog carrying frisbee in its mouth
B1LtWdZIe5C,young man jumping in the air
B1LtWfcBuEU,tree next to fence
B1LtWG5hMdc,screenshot of cell phone
B1LtWp-ISYP,group of people posing for the camera
B1LtXB5Itws,group of people on sidewalk near fence
B1LtXBlA4Hn,man wearing sunglasses taking selfie
B1LtXDcohhz,group of people posing for the camera
B1LtXeGoJXT,person posing for the camera
B1LtXO0BDRO,person standing in room
B1LtXwlISx3,group of people posing for the camera
B1LuaePpMpJ,person with football ball
B1LuaZAou6x,person lying on the ground
B1LuaZcivi4,group of people playing game of frisbee
B1LucYoCjUK,close up of map
B1Lud66gmJp,group of people standing in parking lot
B1LudD1Dc4Z,woman standing on beach
B1LudrhhZDF,train is parked on the side of road
B1Lue4Nnhyg,tree in front of body of water
B1LueVPgvXT,person posing for the camera
B1LueWbivYe,dirt road
B1LufF8npfd,car parked in parking lot
B1LufmbDu1P,person posing for the camera
B1LufrjFQ9W,man walking down dirt road
B1LufSBorGO,young girl jumping in the air
B1LufzMDiR7,woman smiling for the camera
B1LugE9ADna,large green field with mountain in the background
B1LugUEhJD3,person walking down dirt road
B1Lugxgla31,woman standing next to train
B1Luh2ehNB2,man holding book
B1Luijpl35b,close up of sign
B1LuiXwgHWv,person posing for the camera
B1LujeuDfLu,group of clouds in the sky
B1Lujp4IhBQ,man that is standing in the grass
B1LujvgB9hy,tree in forest
B1LujWwn6K-,woman posing for photo
B1Luk06HMp0,close up of newspaper
B1LukiLIBzr,group of people posing for the camera
B1LukRgg75L,man holding sign
B1LuktHg2xQ,person wearing hat and sunglasses posing for the camera
B1LulIxC5fm,man wearing red shirt
B1LumUQpnwB,person riding bicycle on sidewalk
B1LumzHo4QV,man wearing glasses
B1Lun8qgfX2,clock on the side of the road
B1LunC9BruL,motorcycle parked on the side of road
B1LunH_h8Av,sign above body of water
B1LunMwHdH7,woman holding frisbee
B1LunP8g6zP,woman looking at the camera
B1LuO76D4Q8,table topped with plates of food on plate
B1LurFYglnv,close up of footwear
B1LuUsRFgHL,group of people riding on the back of bicycle
B1LuXjHnMiw,man walking down dirt road
B1LuX_vpkwU,man wearing helmet with mountain in the background
B1LvaHgoVQJ,group of people posing for photo
B1LvaLenPFA,view of city at sunset
B1LvalzhyRl,man standing in front of mountain
B1LvATliBJ4,close up of hand holding cellphone
B1LvcyTAEZl,person lying on red rug
B1Lvd77CJ_a,bicycle parked on the side of building
B1LvdIInP2B,person posing for the camera
B1LvdJJBu5n,bunch of items that are on table
B1LvdQ-jvWB,person standing posing for the camera
B1LvDY4pKp7,hand holding book
B1LvdzpDkrE,person riding on the back of bicycle
B1LvfEdnnG2,tree in forest
B1LvfJUI8lo,close up of sandwich
B1Lvfx9AQ3b,group of people sitting posing for the camera
B1LvfZKodN9,hand holding snail on the ground
B1Lvg3fInMu,man standing in room
B1Lvg3yHuFO,person sitting on rocky hill
B1LvgfLiedU,large body of water
B1LvgHaC5_g,woman sitting next to body of water
B1LvhZiIi29,screenshot of cell phone
B1Lvi7vow6n,sign on cloudy day
B1LviarHPyp,bag sitting on top of bed
B1LviGTFuej,close up of colorful umbrella
B1LvIR0IIEV,group of people posing for the camera
B1LvjmPosiH,group of people posing for photo
B1LvjyeiogG,young girl wearing pink shirt
B1Lvk2HDZAW,sandy beach next to the ocean
B1LvkAOlIty,woman standing in front of building talking on cell phone
B1LvkJ4hBAc,close up of logo
B1Lvkk8H7JG,screenshot of cell phone screen with text
B1LvL8WgvV3,man riding skateboard up the side of road
B1LvlAvoSuj,man holding sign posing for the camera
B1LVvYlIZWP,close up of cat
B1LvZ4TnvkK,close up of sign
B1LvZayB6D5,man in blue shirt
B1LvZY1hZ35,tower with clock on the side of road
B1LvZyxB9Du,colorful blanket
B1Lw8RBHkpW,drawing of cartoon character
B1LwaTRnu0w,man jumping in the air
B1LwQ6XogYC,screenshot of cell phone
B1LxcFVHEjY,screenshot of cell phone
B1LxH8ZBKBI,close up of sign
B1LxHp9B1zh,group of people standing in front of crowd posing for the camera
B1LxhTjAIiV,herd of cattle walking across lush green field
B1LxhxIon0O,close up of map
B1LxHz4hnaM,woman walking down the street
B1LxH_DAKUb,close up of flower
B1LxIMsBpNK,large tree
B1LxJ7dh_--,group of people on beach
B1LxJM-h6AE,drawing of face
B1LxJnNBh4q,rainbow in the background
B1LxJY1C4nK,tree in forest
B1LxJYYndc3,young boy standing on sidewalk
B1LxK5MHBiv,dog lying on the ground
B1LxK9BIszU,large body of water with city in the background
B1LxKr5AKhH,group of people posing for photo
B1LxKs5JtUL,person sitting in front of brick building
B1LxL-xoQfk,tree on dirt road
B1LxLjRJ8qZ,brown dog sitting in the grass
B1LxLKgnSk8,person holding dog
B1LxLVRF_N7,man riding skateboard up the side of road
B1LxLx6gfsr,close up of lush green field
B1LxM-fDbe8,screenshot of cell phone
B1LxMbLIWIJ,close up of street in front of brick building
B1LxMK-H-UH,bicycle parked on the side of building
B1LxMLHhxiB,person sitting in living room
B1LxMLjntGZ,group of people walking down the street
B1LxMR5h5Fk,drawing of person
B1LxN4gA9y1,person sitting on the side of mountain
B1LxN5OhsZy,close up of sign
B1LxNH6Dyrm,person standing posing for the camera
B1LxNJuDrry,young man riding skateboard up the side of building
B1LxO4PIoq_,person standing in front of building
B1LxOGsHFFB,body of water
B1LxOOdJLRJ,woman holding sign posing for the camera
B1LxOXngKG9,person posing for the camera
B1LxP1pBdjj,large green field with trees in the background
B1LxPgKiZGi,woman wearing hat and sunglasses
B1LxPKEBhLB,close up of text on white background
B1LxPQwA97A,screen shot of video game
B1LxprfHPpw,group of people standing on top of snow covered mountain
B1LxPzqIzoq,group of people posing for the camera
B1Lxq2aAO5M,tree in the middle of the street
B1LxqEoBnKe,group of people playing frisbee in field
B1LxQLVp5pt,little girl posing for photo
B1LxqN8hR1W,boy wearing hat
B1LxqYjBPJw,group of people on beach posing for the camera
B1LxQYui8uB,woman smiling and posing for the camera
B1LxrDMnkhx,man walking down dirt road
B1LxrPMHV9q,screenshot of video game
B1LxrrHn2AU,close up of map
B1LxrS4B2IP,man sitting on bench
B1Lxs9qjiaB,statue of man in garden
B1LxsfWJGW4,group of people standing on top of grass covered field
B1LxswbhjLP,close up of text on white background
B1Lxt37nj2l,banana tree with green leaves
B1LxtIMgjAr,close up of stereo
B1Lxtj_II8F,group of people posing for photo in front of sign
B1LxtkWIyOY,screenshot of cell phone screen with text
B1LxtSBnwDZ,man riding skateboard up the side of road
B1LxtYHI6Ar,group of people standing next to fence
B1LxUjnn-gf,tree on rocky hill
B1LxuRoHl9O,close up of map
B1LxuyFp8aA,little girl posing for picture
B1LxvEFH4Yb,close up of light
B1LxvlOhUCY,group of people posing for the camera
B1LxvQdBGlW,screenshot of cell phone screen with text
B1LxvqgBPu6,person posing for the camera
B1LxvUKItCF,train is parked on the side of road
B1LxWcLjM7H,person posing for the camera
B1Lxwe2Ansn,close up of sign
B1Lxx2UoVpp,cactus in front of tree
B1LxxY-Hzdc,woman holding racket
B1LxxYeIzLH,person holding sign
B1LxyBChFGc,young girl standing on sidewalk
B1LxymDnIZu,hand holding blue object
B1Lxysyp1Be,person posing for the camera
B1LxyTIpBy2,person holding sign
B1Ly-halsZc,close up of black bag
B1Ly-pdn2vE,tree on grassy hill
B1Ly0R1BW5y,box filled with different types of food on plate
B1Ly0vyo4jV,person sitting at beach umbrella in the sand
B1Ly0zpnJEo,group of people walking down the street
B1Ly0_YnYEE,person sitting on bench in park
B1Ly172AIiS,group of people posing for the camera
B1Ly1cMItBR,sign in front of building
B1Ly1fDHgAs,person holding yellow board
B1Ly1lvo6Qh,group of people posing for the camera
B1Ly2HxgECj,man holding sign
B1Ly2TTpxMv,woman smiling for the camera
B1Ly2WGjKmk,red and black shoes
B1Ly35oi4_V,close up of text on white background
B1Ly3GolroL,person standing on the floor
B1Ly3jUnqRU,herd of sheep grazing on lush green field
B1Ly3tFHycp,tree in forest
B1Ly41aBvYa,girl in pool of water
B1Ly43oC5Ol,person standing on beach
B1Ly4gEoxUv,large brown dog lying on tile floor
B1Ly4I2hTwL,person standing in front of mountain
B1Ly57zoHvA,group of people posing for the camera
B1Ly6DcgFjB,person sitting on wooden surface
